code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
PHE_CEN_2_Cast	cast	phenanthrene	phe.cas	1	1	1	CEN	PHE_CEN	2	39.079	11.329	1.414	12.743	0.125	107	7	1.25	1.30		2.56	3015172	4648327	621642	53765517	256802974	14267164	14267164	621642	32
0_E_3_Cast	cast	control	con.cas	0	0	1	E	0_E	3	48.569	16.218	2.562	18.78	0.158	95	9	0	0		0.00	7176096	10420155	666370	22868526	302015504			666370	35
PHE_E_3_Cast	cast	phenanthrene	phe.cas	0	0	1	E	PHE_E	3	48.119	16.119	2.289	18.408	0.142	101	11	1.18	1.39		2.57	26476190	14098413	5984556	56079365	437619048	41451737	41451737	5984556	43
PHE_EN_3_Cast	cast	phenanthrene	phe.cas	1	0	1	EN	PHE_EN	3	29.685	10.837	1.389	12.226	0.128	77	8	1.16	1.47		2.63	7018327	25832669	2796875	12843028	546454183	134359375	134359375	2796875	47
PHE_CEN_3_Cast	cast	phenanthrene	phe.cas	1	1	1	CEN	PHE_CEN	3	25.292	9.903	1.844	11.747	0.186	93	8	1.09	1.33		2.41	3476190	3395200	1136917	52317460	276960000	18687747	18687747	1136917	48
0_E_4_Cast	cast	control	con.cas	0	0	1	E	0_E	4	42.906	16.263	2.082	18.345	0.128	97	8	0	0		0.00	2550916	11924898	13189630	17523810	415183673	76725926	76725926	13189630	51
0_EN_4_Cast	cast	control	con.cas	1	0	1	EN	0_EN	4	28.261	10.263	1.84	12.103	0.179	84	7	0	0		0.00	2400000	2603861	26606061	6337546	241235521	120606061	120606061	26606061	55
0_CEN_4_Cast	cast	control	con.cas	1	1	1	CEN	0_CEN	4	40.109	15.212	1.53	16.742	0.101	94	10	0	0		0.00	9344314	5986154		46572549	177076923				56
PHE_CE_4_Cast	cast	phenanthrene	phe.cas	0	1	1	CE	PHE_CE	4	35.973	12.251	1.818	14.069	0.148	70	11	1.27	1.73		3.00	7015020	4921212	31407407	57818182	454090909	54281481	54281481	31407407	61
PHE_EN_4_Cast	cast	phenanthrene	phe.cas	1	0	1	EN	PHE_EN	4	35.954	11.899	1.508	13.407	0.127	88	14	1.06	3.44		4.50	21147410	8114286	1600000	49800797	886714286	30323077	30323077	1600000	63
0_EN_5_Cast	cast	control	con.cas	1	0	1	EN	0_EN	5	39.99	14.153	2.165	16.318	0.153	107	7	0	0		0.00	11098868	15845418	14730769	38913208	545179283	42153846	42153846	14730769	71
0_CEN_5_Cast	cast	control	con.cas	1	1	1	CEN	0_CEN	5	32.304	9.806	1.272	11.078	0.130	90	10	0	0		0.00	10670866	3600000	10701158	57685039	215905512	68710425	68710425	10701158	72
PHE_CE_5_Cast	cast	phenanthrene	phe.cas	0	1	1	CE	PHE_CE	5	39.305	13.528	1.96	15.488	0.145	89	7	1.53	1.08		2.61	58728682	6703077	33786561	94868217	203230769	109596838	109596838	33786561	77
PHE_EN_5_Cast	cast	phenanthrene	phe.cas	1	0	1	EN	PHE_EN	5	38.847	12.293	1.207	13.5	0.098	93	10	1.81	3.99		5.80	20330709	8824096	8323137	56692913	183453815			8323137	79
0_E_6_Cast	cast	control	con.cas	0	0	1	E	0_E	6	38.692	11.733	1.617	13.35	0.138	85	12	0	0		0.00	4807463	9771642		36820896	314029851	5196923	5196923		83
0_CEN_6_Cast	cast	control	con.cas	1	1	1	CEN	0_CEN	6	83.345	29.247	3.172	32.419	0.108	115	13	0	0		0.00	14541365	4200000		68497992	374603175				88
